A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,Q9D0T2,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity protein phosphatase 12 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase T-DSP4) (Dual specificity phosphatase VH1),Dusp12,339,Q9D0T2_F1,AFDB,2007.2.3,2007.2.3.2,3849827,16-170
a/b three-layered sandwiches,alpha/beta knot,alpha/beta knot,alpha/beta knot,,Q9D0U1,nD1,4.3.1.27,Mus musculus (Mouse),tRNA-uridine aminocarboxypropyltransferase 2 (EC 2.5.1.25) (DTW domain-containing protein 2),Dtwd2,298,Q9D0U1_F1,AFDB,2488.1.1,NO_F_GROUP,3840254,91-290
a/b three-layered sandwiches,Phosphorylase/hydrolase-like,Zn-dependent exopeptidases,Zn-dependent exopeptidases,Peptidase_M20,Q9D1A2,nD1,4.3.1.27,Mus musculus (Mouse),Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1) (Threonyl dipeptidase),Cndp2 Cn2,475,Q9D1A2_F1,AFDB,2011.1.1,2011.1.1.6,3840158,"1-210,386-475"
alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,Cobalamin adenosyltransferase,Cobalamin adenosyltransferase,Cob_adeno_trans,Q9D273,nD1,4.3.1.27,Mus musculus (Mouse),Corrinoid adenosyltransferase MMAB (EC 2.5.1.-) (ATP:co(I)rrinoid adenosyltransferase MMAB) (Methylmalonic aciduria type B homolog),Mmab,237,Q9D273_F1,AFDB,150.2.1,150.2.1.1,3851760,51-230
a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Syja_N,Q9D2G5,nD1,4.3.1.27,Mus musculus (Mouse),"Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)",Synj2 Kiaa0348,1434,Q9D2G5_F1,AFDB,3257.1.1,3257.1.1.1,3857453,"6-180,476-485"
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Phosphotyrosine protein phosphatases I-like,LMWPc,Q9D358,nD1,4.3.1.27,Mus musculus (Mouse),Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2),Acp1,158,Q9D358_F1,AFDB,2007.2.2,2007.2.2.1,3851793,1-158
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Phosphotyrosine protein phosphatases I-like,LMWPc,Q9D358,nD1,4.3.1.27,Mus musculus (Mouse),Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2),Acp1,158,Q9D358_F1,AFDB,2007.2.2,2007.2.2.1,3851793,1-158
alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,PAP2,Q9D4F2,nD1,4.3.1.27,Mus musculus (Mouse),Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 (EC 3.1.3.-) (EC 3.6.1.-) (EC 3.6.1.68) (Phospholipid phosphatase 6),Plpp6,292,Q9D4F2_F1,AFDB,180.1.1,180.1.1.1,3870245,121-280
a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,GST_N_3,Q9D4P7,nD1,4.3.1.27,Mus musculus (Mouse),Glutathione S-transferase theta-4 (EC 2.5.1.18) (GST class-theta-4),Gstt4,240,Q9D4P7_F1,AFDB,2485.1.1,2485.1.1.40,3840590,1-85
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,HAD_2,Q9D5U5,nD1,4.3.1.27,Mus musculus (Mouse),Pseudouridine-5'-phosphatase (EC 3.1.3.96) (Haloacid dehalogenase-like hydrolase domain-containing protein 1) (Haloacid dehalogenase-like hydrolase domain-containing protein 1A) (Pseudouridine-5'-monophosphatase) (5'-PsiMPase),Pudp Hdhd1 Hdhd1a,234,Q9D5U5_F1,AFDB,2006.1.1,2006.1.1.18,3852159,1-230
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,Y_phosphatase,Q9D658,nD1,4.3.1.27,Mus musculus (Mouse),Protein tyrosine phosphatase type IVA 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a3) (Protein-tyrosine phosphatase of regenerating liver 3) (PRL-3),Ptp4a3 Prl3,173,Q9D658_F1,AFDB,2007.2.3,2007.2.3.1,3852235,6-160
beta meanders,Carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase,Carb_anhydrase,Q9D6N1,nD1,4.3.1.27,Mus musculus (Mouse),Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII),Ca13 Car13,262,Q9D6N1_F1,AFDB,62.1.1,62.1.1.1,3868423,6-260
beta meanders,Carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase,Carb_anhydrase,Q9D6N1,nD1,4.3.1.27,Mus musculus (Mouse),Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII),Ca13 Car13,262,Q9D6N1_F1,AFDB,62.1.1,62.1.1.1,3868423,6-260
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,Q9D700,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3),Dusp26 Skrp3,211,Q9D700_F1,AFDB,2007.2.3,2007.2.3.2,3861056,41-210
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Hydrolase_6,Q9D7I5,nD1,4.3.1.27,Mus musculus (Mouse),Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1),Lhpp,270,Q9D7I5_F1,AFDB,2006.1.1,2006.1.1.17,3864087,"1-80,191-270"
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Hydrolase_6,Q9D7I5,nD1,4.3.1.27,Mus musculus (Mouse),Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1),Lhpp,270,Q9D7I5_F1,AFDB,2006.1.1,2006.1.1.17,3864087,"1-80,191-270"
a+b four layers,Ntn/PP2C,Ntn,"Penicillin acylase, catalytic domain",NAAA-beta,Q9D7V9,nD1,4.3.1.27,Mus musculus (Mouse),N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.60) (Acylsphingosine deacylase NAAA) (EC 3.5.1.23) (N-acylsphingosine amidohydrolase-like) (ASAH-like protein) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta],Naaa Asahl,362,Q9D7V9_F1,AFDB,210.1.2,210.1.2.7,3855303,38-360
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,Q9D7X3,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (T-DSP11) (Vaccinia H1-related phosphatase) (VHR),Dusp3,185,Q9D7X3_F1,AFDB,2007.2.3,2007.2.3.2,3859370,6-185
a+b two layers,BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),AIG2_2,Q9D7X8,nD1,4.3.1.27,Mus musculus (Mouse),Gamma-glutamylcyclotransferase (EC 4.3.2.9),Ggct,188,Q9D7X8_F1,AFDB,810.1.1,810.1.1.3,3853769,16-188
beta barrels,OB-fold,Inorganic pyrophosphatase,Inorganic pyrophosphatase,Pyrophosphatase,Q9D819,nD1,4.3.1.27,Mus musculus (Mouse),Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),Ppa1 Pp Pyp,289,Q9D819_F1,AFDB,2.5.1,2.5.1.1,3841367,6-285
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Acid_PPase,Q9D967,nD1,4.3.1.27,Mus musculus (Mouse),Magnesium-dependent phosphatase 1 (MDP-1) (EC 3.1.3.-) (EC 3.1.3.48),Mdp1,164,Q9D967_F1,AFDB,2006.1.1,2006.1.1.13,3850563,1-164
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,Q9D9D8,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity phosphatase 21 (EC 3.1.3.16) (EC 3.1.3.48),Dusp21,189,Q9D9D8_F1,AFDB,2007.2.3,2007.2.3.2,3865755,11-189
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,,Q9D9M5,nD1,4.3.1.27,Mus musculus (Mouse),Pyridoxal phosphate phosphatase PHOSPHO2 (EC 3.1.3.74),Phospho2,241,Q9D9M5_F1,AFDB,2006.1.1,NO_F_GROUP,3843711,1-235
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,,Q9D9M5,nD1,4.3.1.27,Mus musculus (Mouse),Pyridoxal phosphate phosphatase PHOSPHO2 (EC 3.1.3.74),Phospho2,241,Q9D9M5_F1,AFDB,2006.1.1,NO_F_GROUP,3843711,1-235
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q9D9V3,nD1,4.3.1.27,Mus musculus (Mouse),Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD),Echdc1,322,Q9D9V3_F1,AFDB,2486.1.1,2486.1.1.1,3876639,36-315
alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,Acid phosphatase/Vanadium-dependent haloperoxidase,,Q9DAX2,nD1,4.3.1.27,Mus musculus (Mouse),Phospholipid phosphatase 2 (EC 3.1.3.-) (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 2) (PAP2-gamma) (PAP2-G) (Phosphatidate phosphohydrolase type 2c) (Phosphatidic acid phosphatase 2c) (PAP-2c) (PAP2c),Plpp2 Lpp2 Ppap2c,276,Q9DAX2_F1,AFDB,180.1.1,NO_F_GROUP,3869683,1-245
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Rhodanese/Cell cycle control phosphatase,Rhodanese,Q9DBB1,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3),Dusp6 Mkp3,381,Q9DBB1_F1,AFDB,2007.2.5,2007.2.5.1,3848776,6-150
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Pyridoxal_deC,Q9DBE0,nD1,4.3.1.27,Mus musculus (Mouse),Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Aspartate 1-decarboxylase) (EC 4.1.1.11) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase),Csad,493,Q9DBE0_F1,AFDB,7577.1.1,7577.1.1.4,3851056,6-410
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Pyridoxal_deC,Q9DBE0,nD1,4.3.1.27,Mus musculus (Mouse),Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Aspartate 1-decarboxylase) (EC 4.1.1.11) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase),Csad,493,Q9DBE0_F1,AFDB,7577.1.1,7577.1.1.4,3851056,6-410
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_1,Q9DBJ1,nD1,4.3.1.27,Mus musculus (Mouse),Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B),Pgam1,254,Q9DBJ1_F1,AFDB,7525.1.1,7525.1.1.1,3843625,1-254
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q9DBM2,nD1,4.3.1.27,Mus musculus (Mouse),"Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-peroxisomal bifunctional enzyme) (L-PBE) (Multifunctional enzyme 1) (MFE1) (Multifunctional protein 1) (MFP-1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",Ehhadh L-pbe,718,Q9DBM2_F1,AFDB,2486.1.1,2486.1.1.1,3876093,1-275
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,Q9DBM2,nD1,4.3.1.27,Mus musculus (Mouse),"Peroxisomal bifunctional enzyme (PBE) (PBFE) (L-peroxisomal bifunctional enzyme) (L-PBE) (Multifunctional enzyme 1) (MFE1) (Multifunctional protein 1) (MFP-1) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",Ehhadh L-pbe,718,Q9DBM2_F1,AFDB,2486.1.1,2486.1.1.1,3876093,1-275
alpha arrays,Cytochrome P450,Cytochrome P450,Cytochrome P450,p450,Q9DBX6,nD1,4.3.1.27,Mus musculus (Mouse),Cytochrome P450 2S1 (EC 1.14.14.-) (CYPIIS1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Thromboxane-A synthase) (EC 5.3.99.5),Cyp2s1,501,Q9DBX6_F1,AFDB,149.1.1,149.1.1.1,3872148,26-500
alpha bundles,Terpenoid synthases,Terpenoid synthases,Terpenoid synthases,UbiA,Q9DC60,nD1,4.3.1.27,Mus musculus (Mouse),UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (EC 2.5.1.39),Ubiad1,336,Q9DC60_F1,AFDB,141.1.1,141.1.1.3,3848328,36-330
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DHDPS,Q9DCJ9,nD1,4.3.1.27,Mus musculus (Mouse),N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase),Npl,320,Q9DCJ9_F1,AFDB,2002.1.1,2002.1.1.29,3845627,6-315
a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,SAICAR synthase,SAICAR_synt,Q9DCL9,nD1,4.3.1.27,Mus musculus (Mouse),Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)],Paics,425,Q9DCL9_F1,AFDB,206.1.2,206.1.2.1,3848565,6-260
alpha arrays,Insertion subdomain in DsbA-like,Insertion subdomain in DsbA-like,Insertion subdomain in DsbA-like,DSBA,Q9DCM2,nD1,4.3.1.27,Mus musculus (Mouse),Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (mGSTK1) (Glutathione S-transferase subunit 13),Gstk1,226,Q9DCM2_F1,AFDB,3009.1.1,3009.1.1.1,3864127,1-220
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DHDPS,Q9DCU9,nD1,4.3.1.27,Mus musculus (Mouse),"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",Hoga1 Dhdpsl,321,Q9DCU9_F1,AFDB,2002.1.1,2002.1.1.29,3861856,6-320
a/b three-layered sandwiches,DTD-like,DTD-like (Pfam 02580),DTD-like (Pfam 02580),Tyr_Deacylase,Q9DD18,nD1,4.3.1.27,Mus musculus (Mouse),D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase),Dtd1 Hars2,209,Q9DD18_F1,AFDB,2494.1.1,2494.1.1.1,3846219,1-150
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,COesterase,Q9DDE3,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Acetylcholinesterase (AChE) (EC 3.1.1.7),ache,634,Q9DDE3_F1,AFDB,7579.1.1,7579.1.1.1,3892899,16-595
a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Syja_N,Q9EP69,nD1,4.3.1.27,Mus musculus (Mouse),Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein),Sacm1l Kiaa0851 Sac1,587,Q9EP69_F1,AFDB,3257.1.1,3257.1.1.1,3873367,"6-185,491-500"
few secondary structure elements,"Phospholipase A2, PLA2","Phospholipase A2, PLA2","Phospholipase A2, PLA2",PLA2G12,Q9EPR2,nD1,4.3.1.27,Mus musculus (Mouse),Group XIIA secretory phospholipase A2 (GXII sPLA2) (sPLA2-XII) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 12A),Pla2g12a Pla2g12,192,Q9EPR2_F1,AFDB,371.1.1,371.1.1.4,3867184,66-185
beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Glce_b_sandwich,Q9EPS3,nD1,4.3.1.27,Mus musculus (Mouse),D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin sulfate C5-epimerase) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase),Glce,618,Q9EPS3_F1,AFDB,10.32.1,10.32.1.68,3854249,231-400
beta sandwiches,Immunoglobulin-like beta-sandwich,C2 domain,C2 domain,,Q9EPW0,nD1,4.3.1.27,Mus musculus (Mouse),"Inositol polyphosphate-4-phosphatase type I A (Inositol polyphosphate 4-phosphatase type I) (Inositol polyphosphate 4-phosphatase-1) (4-Ptase-1) (Type I inositol 3,4-bisphosphate 4-phosphatase) (EC 3.1.3.66)",Inpp4a,939,Q9EPW0_F1,AFDB,11.2.1,NO_F_GROUP,3860586,41-180
a+b complex topology,FAD-binding domain-like,FAD-binding domain,FAD-binding domain,FAD_binding_4,Q9EQR2,nD1,4.3.1.27,Rattus norvegicus (Rat),"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Alkylglycerone-phosphate synthase)",Agps Ads,644,Q9EQR2_F1,AFDB,217.1.1,217.1.1.2,3747333,68-370
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,TAL_FSA,Q9EQS0,nD1,4.3.1.27,Rattus norvegicus (Rat),Transaldolase (EC 2.2.1.2),Taldo1,337,Q9EQS0_F1,AFDB,2002.1.1,2002.1.1.38,3757191,11-335
a/b three-layered sandwiches,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase,Q9ER34,nD1,4.3.1.27,Rattus norvegicus (Rat),"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,780,Q9ER34_F1,AFDB,7542.1.1,7542.1.1.1,3774223,31-225
a/b three-layered sandwiches,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase iron-sulfur domain,Aconitase,Q9ER34,nD1,4.3.1.27,Rattus norvegicus (Rat),"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,780,Q9ER34_F1,AFDB,7542.1.1,7542.1.1.1,3774223,31-225
beta meanders,Carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase,Carb_anhydrase,Q9ERQ8,nD1,4.3.1.27,Mus musculus (Mouse),Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII),Ca7 Car7,264,Q9ERQ8_F1,AFDB,62.1.1,62.1.1.1,3857211,6-264
beta meanders,Carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase,Carb_anhydrase,Q9ERQ8,nD1,4.3.1.27,Mus musculus (Mouse),Carbonic anhydrase 7 (EC 4.2.1.1) (Carbonate dehydratase VII) (Carbonic anhydrase VII) (CA-VII),Ca7 Car7,264,Q9ERQ8_F1,AFDB,62.1.1,62.1.1.1,3857211,6-264
a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Syja_N,Q9ES21,nD1,4.3.1.27,Rattus norvegicus (Rat),Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein),Sacm1l Sac1,587,Q9ES21_F1,AFDB,3257.1.1,3257.1.1.1,3753938,"6-185,491-500"
a+b two layers,SH2,SH2,SH2,SH2,Q9ES52,nD1,4.3.1.27,Mus musculus (Mouse),"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase D) (EC 3.1.3.56) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship)",Inpp5d 7a33 Ship Ship1,1191,Q9ES52_F1,AFDB,214.1.1,214.1.1.1,3871895,6-115
beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,,Q9ESN3,nD1,4.3.1.27,Mus musculus (Mouse),Post-GPI attachment to proteins factor 6 (EC 3.1.1.4) (GPI processing phospholipase A2) (GPI-PLA2) (M83 protein) (Transmembrane protein 8) (Transmembrane protein 8A),Pgap6 Tmem8 Tmem8a,769,Q9ESN3_F1,AFDB,10.32.1,NO_F_GROUP,3846209,46-185
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Rhodanese/Cell cycle control phosphatase,Rhodanese,Q9ESS0,nD1,4.3.1.27,Mus musculus (Mouse),Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5),Dusp10 Mkp5,483,Q9ESS0_F1,AFDB,2007.2.5,2007.2.5.1,3865779,146-285
a+b four layers,Carbon-nitrogen hydrolase-like,DNase I-like,DNase I-like,Exo_endo_phos,Q9ET55,nD1,4.3.1.27,Rattus norvegicus (Rat),Nocturnin (EC 3.1.3.108) (Carbon catabolite repression 4-like protein),Noct Ccr4 Ccrn4l Noc,428,Q9ET55_F1,AFDB,246.3.1,246.3.1.1,3766808,106-425
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Ala_racemase_N,Q9EZ08,nD1,4.3.1.27,Staphylococcus aureus (strain NCTC 8325 / PS 47),Alanine racemase 2 (EC 5.1.1.1),alr2 dal SAOUHSC_01400,361,Q9EZ08_F1,AFDB,2002.1.1,2002.1.1.53,4033320,6-235
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DHDPS,Q9EZ12,nD1,4.3.1.27,Staphylococcus aureus (strain NCTC 8325 / PS 47),4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),dapA SAOUHSC_01396,295,Q9EZ12_F1,AFDB,2002.1.1,2002.1.1.29,4031374,1-290
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Phosphotyrosine protein phosphatases I-like,LMWPc,Q9F7B2,nD1,4.3.1.27,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Low molecular weight protein-tyrosine-phosphatase Wzb (EC 3.1.3.48),wzb STM2117,149,Q9F7B2_F1,AFDB,2007.2.2,2007.2.2.1,3980737,1-145
few secondary structure elements,EGF-like,EGF-related,EGF/Laminin,EGF_alliinase,Q9FE98,nD2,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Tryptophan aminotransferase-related protein 3 (EC 2.6.1.-),TAR3 At1g34040 F12G12.14 T15K4.10,457,Q9FE98_F1,AFDB,389.1.1,389.1.1.4,3815542,36-85
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,Q9FEB5,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),"Phosphoglucan phosphatase DSP4, chloroplastic (EC 3.1.3.-) (AtPTPKIS1) (Dual specificity protein phosphatase 4) (Protein STARCH-EXCESS 4) (AtSEX4)",DSP4 PTPKIS1 SEX4 At3g52180 F4F15.290,379,Q9FEB5_F1,AFDB,2007.2.3,2007.2.3.2,3802629,"76-250,361-375"
alpha bundles,Bromodomain-like,Plant invertase/pectin methylesterase inhibitor,Plant invertase/pectin methylesterase inhibitor,PMEI,Q9FF77,nD1,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Probable pectinesterase/pectinesterase inhibitor 47 [Includes: Pectinesterase inhibitor 47 (Pectin methylesterase inhibitor 47); Pectinesterase 47 (PE 47) (EC 3.1.1.11) (Pectin methylesterase 47) (AtPME47)],PME47 ARATH47 At5g04970 MUG13.17,624,Q9FF77_F1,AFDB,633.4.1,633.4.1.1,3831830,81-245
alpha bundles,Bromodomain-like,Plant invertase/pectin methylesterase inhibitor,Plant invertase/pectin methylesterase inhibitor,PMEI,Q9FF78,nD2,4.3.1.27,Arabidopsis thaliana (Mouse-ear cress),Probable pectinesterase/pectinesterase inhibitor 46 [Includes: Pectinesterase inhibitor 46 (Pectin methylesterase inhibitor 46); Pectinesterase 46 (PE 46) (EC 3.1.1.11) (Pectin methylesterase 46) (AtPME46)],PME46 ARATH46 At5g04960 MUG13.18,564,Q9FF78_F1,AFDB,633.4.1,633.4.1.1,3819948,66-220
